Vehicle_optimal_time_0/Current_pad_speed_0,Vehicle_circuit_time_0/Distance_to_destination_pad_0,Vehicle_current_speed_0/Next_station_pad_0,Vehicle_average_speed_0,Vehicle_departure_station_0,Vehicle_arrival_station_0,Vehicle_optimal_time_1/Current_pad_speed_1,Vehicle_circuit_time_1/Distance_to_destination_pad_1,Vehicle_current_speed_1/Next_station_pad_1,Vehicle_average_speed_1,Vehicle_departure_station_1,Vehicle_arrival_station_1,Iteration
300.000000,20.900000,50.031000,41.911288,0,1,300.000000,15.900000,50.031000,41.880038,0,1,159
300.000000,21.000000,49.969000,41.961335,0,1,300.000000,16.000000,49.969000,41.930280,0,1,160
300.000000,21.100000,50.031000,42.011148,0,1,300.000000,16.100000,50.031000,41.980284,0,1,161
300.000000,21.200000,49.969000,42.059969,0,1,300.000000,16.200000,49.969000,42.029294,0,1,162
300.000000,21.300000,50.031000,42.108573,0,1,300.000000,16.300000,50.031000,42.078085,0,1,163
300.000000,21.400000,49.969000,42.156212,0,1,300.000000,16.400000,49.969000,42.125909,0,1,164
300.000000,21.500000,50.031000,42.203651,0,1,300.000000,16.500000,50.031000,42.173530,0,1,165
300.000000,21.600000,49.969000,42.250150,0,1,300.000000,16.600000,49.969000,42.220210,0,1,166
300.000000,21.700000,50.031000,42.296464,0,1,300.000000,16.700000,50.031000,42.266702,0,1,167
300.000000,21.800000,49.969000,42.341864,0,1,300.000000,16.800000,49.969000,42.312278,0,1,168
300.000000,21.900000,50.031000,42.387094,0,1,300.000000,16.900000,50.031000,42.357682,0,1,169
300.000000,22.000000,49.969000,42.431433,0,1,300.000000,17.000000,49.969000,42.402193,0,1,170
300.000000,22.100000,50.031000,42.475616,0,1,300.000000,17.100000,50.031000,42.446547,0,1,171
300.000000,22.200000,49.969000,42.518931,0,1,300.000000,17.200000,49.969000,42.490029,0,1,172
300.000000,22.300000,50.031000,42.562103,0,1,300.000000,17.300000,50.031000,42.533368,0,1,173
300.000000,22.400000,49.969000,42.604429,0,1,300.000000,17.400000,49.969000,42.575857,0,1,174
300.000000,22.500000,50.031000,42.646625,0,1,300.000000,17.500000,50.031000,42.618216,0,1,175
300.000000,22.600000,49.969000,42.687994,0,1,300.000000,17.600000,49.969000,42.659746,0,1,176
300.000000,22.700000,50.031000,42.729247,0,1,300.000000,17.700000,50.031000,42.701157,0,1,177
300.000000,22.800000,49.969000,42.769693,0,1,300.000000,17.800000,49.969000,42.741760,0,1,178
300.000000,22.900000,50.031000,42.810033,0,1,300.000000,17.900000,50.031000,42.782256,0,1,179
300.000000,23.000000,49.969000,42.849586,0,1,300.000000,18.000000,49.969000,42.821961,0,1,180
300.000000,23.100000,50.031000,42.889044,0,1,300.000000,18.100000,50.031000,42.861571,0,1,181
300.000000,23.200000,49.969000,42.927732,0,1,300.000000,18.200000,49.969000,42.900410,0,1,182
300.000000,23.300000,50.031000,42.966337,0,1,300.000000,18.300000,50.031000,42.939163,0,1,183
300.000000,23.400000,49.969000,43.004189,0,1,300.000000,18.400000,49.969000,42.977162,0,1,184
300.000000,23.500000,50.031000,43.041968,0,1,300.000000,18.500000,50.031000,43.015086,0,1,185
300.000000,23.600000,49.969000,43.079011,0,1,300.000000,18.600000,49.969000,43.052273,0,1,186
300.000000,23.700000,50.031000,43.115989,0,1,300.000000,18.700000,50.031000,43.089394,0,1,187
300.000000,23.800000,49.969000,43.152249,0,1,300.000000,18.800000,49.969000,43.125794,0,1,188
300.000000,23.900000,50.031000,43.188453,0,1,300.000000,18.900000,50.031000,43.162137,0,1,189
300.000000,24.000000,49.969000,43.223953,0,1,300.000000,19.000000,49.969000,43.197775,0,1,190
300.000000,24.100000,50.031000,43.259406,0,1,300.000000,19.100000,50.031000,43.233365,0,1,191
300.000000,24.200000,49.969000,43.294171,0,1,300.000000,19.200000,49.969000,43.268264,0,1,192
300.000000,24.300000,50.031000,43.328897,0,1,300.000000,19.300000,50.031000,43.303124,0,1,193
300.000000,24.400000,49.969000,43.362949,0,1,300.000000,19.400000,49.969000,43.337308,0,1,194
300.000000,24.500000,50.031000,43.396969,0,1,300.000000,19.500000,50.031000,43.371459,0,1,195
300.000000,24.600000,49.969000,43.430330,0,1,300.000000,19.600000,49.969000,43.404949,0,1,196
300.000000,24.700000,50.031000,43.463667,0,1,300.000000,19.700000,50.031000,43.438414,0,1,197
300.000000,24.800000,49.969000,43.496357,0,1,300.000000,19.800000,49.969000,43.471231,0,1,198
300.000000,24.900000,50.031000,43.529030,0,1,300.000000,19.900000,50.031000,43.504030,0,1,199
